GENESIS-Tabelle: 12111-31-01-4
Haushalte nach Haushaltsgr��en;;;;;;;;
- Stichtag 09.05.2011 -;;;;;;;;
regionale Tiefe: Kreise und krfr. St�dte;;;;;;;;
Zensus 2011;;;;;;;;
09.05.2011;;;;;;;;
;;Private Haushalte;Private Haushalte;Private Haushalte;Private Haushalte;Private Haushalte;Private Haushalte;Private Haushalte
09761;      Augsburg;138889;65133;42873;15223;10613;3531;1516
09762;      Kaufbeuren;20111;8362;6476;2494;1949;587;243
09763;      Kempten (Allg�u);32265;14297;10215;3800;2722;879;352
09764;      Memmingen;19857;8273;6192;2373;2027;686;306
09771;      Aichach-Friedberg, Landkreis;51796;13935;16963;8946;8385;2577;990
09772;      Augsburg, Landkreis;101710;29982;33784;17140;14755;4425;1624
09773;      Dillingen a.d.Donau, Landkreis;37356;10190;11166;6535;6317;2273;875
09774;      G�nzburg, Landkreis;49100;14487;14765;8388;7599;2676;1185
09775;      Neu-Ulm, Landkreis;72748;24487;23173;11104;9684;3018;1282
09776;      Lindau (Bodensee), Landkreis;36779;13497;11984;4637;4351;1535;775
09777;      Ostallg�u, Landkreis;58063;18105;18716;8757;8052;3118;1315
09778;      Unterallg�u, Landkreis;56064;16753;17120;8809;8703;3373;1306
09779;      Donau-Ries, Landkreis;52040;14937;15376;8858;8341;3181;1347
09780;      Oberallg�u, Landkreis;72493;25708;23921;9779;8814;3017;1254
10;  Saarland;459853;161692;154971;75553;47618;14179;5840
10041;      Saarbr�cken, Regionalverband;161483;67210;52113;22803;13275;4256;1826
10041100;      Saarbr�cken, Landeshauptstadt;92360;44033;27674;11212;6370;2138;933
10042;      Merzig-Wadern, Landkreis;44053;12857;14858;8137;5667;1813;721
10043;      Neunkirchen, Landkreis;62231;21370;21788;10409;6155;1752;757
10044;      Saarlouis, Landkreis;86663;26619;29679;15919;10287;2947;1212
10045;      Saarpfalz-Kreis;66181;22307;23046;10896;7133;1985;814
10046;      St. Wendel, Landkreis;39242;11329;13487;7389;5101;1426;510
11;  Berlin;1794936;881613;555758;198155;108215;33104;18091
11001001;      Berlin-Mitte;-;-;-;-;-;-;-
11002002;      Berlin-Friedrichshain-Kreuzberg;-;-;-;-;-;-;-
11003003;      Berlin-Pankow;-;-;-;-;-;-;-
11004004;      Berlin-Charlottenburg-Wilmersdorf;-;-;-;-;-;-;-
11005005;      Berlin-Spandau;-;-;-;-;-;-;-
11006006;      Berlin-Steglitz-Zehlendorf;-;-;-;-;-;-;-
11007007;      Berlin-Tempelhof-Sch�neberg;-;-;-;-;-;-;-
11008008;      Berlin-Neuk�lln;-;-;-;-;-;-;-
11009009;      Berlin-Treptow-K�penick;-;-;-;-;-;-;-
11010010;      Berlin-Marzahn-Hellersdorf;-;-;-;-;-;-;-
11011011;      Berlin-Lichtenberg;-;-;-;-;-;-;-
11012012;      Berlin-Reinickendorf;-;-;-;-;-;-;-
12;  Brandenburg;1182470;408162;444691;194168;99310;25244;10895
12051;      Brandenburg an der Havel, kreisfreie Stadt;38545;16161;14631;4969;2118;468;198
12052;      Cottbus, kreisfreie Stadt;53790;23843;19315;6807;2893;651;281
12053;      Frankfurt (Oder), kreisfreie Stadt;31780;14049;11209;4175;1792;414;141
12054;      Potsdam, kreisfreie Stadt;82826;35930;29354;10514;5281;1283;464
12060;      Barnim, Landkreis;81134;25817;32099;14058;6801;1640;719
12061;      Dahme-Spreewald, Landkreis;75017;23480;28928;12982;6978;1852;797
12062;      Elbe-Elster, Landkreis;51391;16774;18784;9000;4920;1327;586
12063;      Havelland, Landkreis;70168;21648;26581;12523;6925;1790;701
12064;      M�rkisch-Oderland, Landkreis;87845;27212;35058;15418;7457;1917;783
12065;      Oberhavel, Landkreis;94243;29893;36817;16297;8327;2029;880
12066;      Oberspreewald-Lausitz, Landkreis;58619;21649;21965;8927;4521;1099;458
12067;      Oder-Spree, Landkreis;85563;28700;32479;14427;7204;1863;890
12068;      Ostprignitz-Ruppin, Landkreis;48268;17126;17564;8094;3943;1038;503
12069;      Potsdam-Mittelmark, Landkreis;88859;24529;32539;17376;10378;2803;1234
12070;      Prignitz, Landkreis;39841;14838;14612;6149;3078;791;373
12071;      Spree-Nei�e, Landkreis;57837;18834;21369;10235;5435;1361;603
12072;      Teltow-Fl�ming, Landkreis;74609;24889;27710;12819;6671;1738;782
12073;      Uckermark, Landkreis;62135;22790;23677;9398;4588;1180;502
13;  Mecklenburg-Vorpommern;803002;301447;291295;124186;62823;15987;7264
13001;      Kreisfreie Stadt Greifswald, Hansestadt;31474;14993;10387;3782;1703;412;197
13002;      Kreisfreie Stadt Neubrandenburg, Stadt;35509;16198;12852;4202;1787;349;121
13003;      Kreisfreie Stadt Rostock, Hansestadt;113422;53880;40079;12335;5470;1150;508
13004;      Kreisfreie Stadt Schwerin, Landeshauptstadt;51278;24837;17815;5362;2376;604;284
13005;      Kreisfreie Stadt Stralsund, Hansestadt;30798;14049;11118;3666;1533;316;116
13006;      Kreisfreie Stadt Wismar, Hansestadt;22955;10187;8416;2720;1158;313;161
13051;      Landkreis Bad Doberan;52062;14119;19800;10450;5730;1358;605
13052;      Landkreis Demmin;36914;12509;13406;6392;3336;869;402
13053;      Landkreis G�strow;46372;16453;16266;7853;4094;1138;568
13054;      Landkreis Ludwigslust;54996;17078;19535;10417;5723;1541;702
13055;      Landkreis Mecklenburg-Strelitz;36478;12190;13412;6321;3351;834;370
13056;      Landkreis M�ritz;30628;10427;11693;4968;2573;676;291
13057;      Landkreis Nordvorpommern;49079;15552;18650;8793;4403;1176;505
13058;      Landkreis Nordwestmecklenburg;51189;14609;18713;9951;5696;1483;737
13059;      Landkreis Ostvorpommern;49294;16319;18179;8585;4384;1272;555
13060;      Landkreis Parchim;43637;13921;15818;7946;4409;1070;473
13061;      Landkreis R�gen;33123;12206;12580;5012;2367;660;298
13062;      Landkreis Uecker-Randow;33794;11920;12576;5431;2730;766;371
13071;      Landkreis Mecklenburgische Seenplatte;-;-;-;-;-;-;-
13072;      Landkreis Rostock;-;-;-;-;-;-;-
13073;      Landkreis Vorpommern-R�gen;-;-;-;-;-;-;-
13074;      Landkreis Nordwestmecklenburg;-;-;-;-;-;-;-
13075;      Landkreis Vorpommern-Greifswald;-;-;-;-;-;-;-
13076;      Landkreis Ludwigslust-Parchim;-;-;-;-;-;-;-
14;  Sachsen;2048482;801531;744582;294290;154660;37804;15615
141;    Chemnitz, Regierungsbezirk;-;-;-;-;-;-;-
14161;      Chemnitz, kreisfreie Stadt;-;-;-;-;-;-;-
14166;      Plauen, kreisfreie Stadt;-;-;-;-;-;-;-
14167;      Zwickau, kreisfreie Stadt;-;-;-;-;-;-;-
14171;      Annaberg, Landkreis;-;-;-;-;-;-;-
14173;      Chemnitzer Land, Landkreis;-;-;-;-;-;-;-
14177;      Freiberg, Landkreis;-;-;-;-;-;-;-
14178;      Vogtlandkreis;-;-;-;-;-;-;-
14181;      Mittlerer Erzgebirgskreis;-;-;-;-;-;-;-
14182;      Mittweida, Landkreis;-;-;-;-;-;-;-
14188;      Stollberg, Landkreis;-;-;-;-;-;-;-
14191;      Aue-Schwarzenberg, Landkreis;-;-;-;-;-;-;-
14193;      Zwickauer Land, Landkreis;-;-;-;-;-;-;-
142;    Dresden, Regierungsbezirk;-;-;-;-;-;-;-
14262;      Dresden, kreisfreie Stadt;-;-;-;-;-;-;-
14263;      G�rlitz, kreisfreie Stadt;-;-;-;-;-;-;-
14264;      Hoyerswerda, kreisfreie Stadt;-;-;-;-;-;-;-
14272;      Bautzen, Landkreis;-;-;-;-;-;-;-
14280;      Mei�en, Landkreis;-;-;-;-;-;-;-
14284;      Niederschlesischer Oberlausitzkreis;-;-;-;-;-;-;-
14285;      Riesa-Gro�enhain, Landkreis;-;-;-;-;-;-;-
14286;      L�bau-Zittau, Landkreis;-;-;-;-;-;-;-
14287;      S�chsische Schweiz, Landkreis;-;-;-;-;-;-;-
14290;      Wei�eritzkreis;-;-;-;-;-;-;-
14292;      Kamenz, Landkreis;-;-;-;-;-;-;-
143;    Leipzig, Regierungsbezirk;-;-;-;-;-;-;-
14365;      Leipzig, kreisfreie Stadt;-;-;-;-;-;-;-
14374;      Delitzsch, Landkreis;-;-;-;-;-;-;-
14375;      D�beln, Landkreis;-;-;-;-;-;-;-
14379;      Leipziger Land, Landkreis;-;-;-;-;-;-;-
14383;      Muldentalkreis;-;-;-;-;-;-;-
14389;      Torgau-Oschatz, Landkreis;-;-;-;-;-;-;-
145;    Chemnitz, Stat. Region;751338;284375;280915;110656;56059;13562;5771
14511;      Chemnitz, Stadt;131336;59473;47610;15191;6877;1591;594
14521;      Erzgebirgskreis;174577;60516;65619;28094;14977;3773;1598
14522;      Mittelsachsen, Landkreis;157155;55284;59039;24666;13502;3218;1446
14523;      Vogtlandkreis;120866;45882;44697;18330;8835;2177;945
14524;      Zwickau, Landkreis;167404;63220;63950;24375;11868;2803;1188
146;    Dresden, Stat. Region;793748;305233;284481;115937;65177;16268;6652
14612;      Dresden, Stadt;275943;125282;94577;32904;17648;4094;1438
14625;      Bautzen, Landkreis;147234;48410;52610;25170;15186;4092;1766
14626;      G�rlitz, Landkreis;132432;48534;48412;20138;11177;2927;1244
14627;      Mei�en, Landkreis;119184;41721;43942;19130;10554;2681;1156
14628;      S�chsische Schweiz-Osterzgebirge, Landkreis;118955;41286;44940;18595;10612;2474;1048
147;    Leipzig, Stat. Region;503396;211923;179186;67697;33424;7974;3192
14713;      Leipzig, Stadt;283622;138356;96043;30161;14329;3434;1299
14729;      Leipzig, Landkreis;124450;41508;48000;20710;10705;2514;1013
14730;      Nordsachsen, Landkreis;95324;32059;35143;16826;8390;2026;880
15;  Sachsen-Anhalt;1127332;417891;418019;178589;82515;20663;9655
15001;      Dessau-Ro�lau, kreisfreie Stadt;45106;18127;17609;6108;2481;526;255
15002;      Halle (Saale), kreisfreie Stadt;125430;57062;45439;14150;6330;1646;803
15003;      Magdeburg, kreisfreie Stadt;124436;57619;43199;14848;6419;1575;776
15081;      Altmarkkreis Salzwedel;39584;12704;13445;7329;4303;1214;589
15082;      Anhalt-Bitterfeld, Landkreis;84012;30364;31654;13674;6154;1491;675
15083;      B�rde, Landkreis;79964;23704;29415;16246;7899;1837;863
15084;      Burgenlandkreis;91598;32839;33885;15156;6930;1833;955
15085;      Harz, Landkreis;111032;40605;42306;17381;8049;1856;835
15086;      Jerichower Land, Landkreis;44080;14491;16259;8110;3900;934;386
15087;      Mansfeld-S�dharz, Landkreis;70345;23352;27100;12217;5544;1470;662
15088;      Saalekreis;89563;28167;34319;16612;7571;1990;904
15089;      Salzlandkreis;101298;36962;38757;16213;6882;1679;805
15090;      Stendal, Landkreis;57049;20131;20301;9851;4920;1284;562
15091;      Wittenberg, Landkreis;63835;21764;24331;10694;5133;1328;585
151;    Dessau, Stat. Region;-;-;-;-;-;-;-
15101;      Dessau, kreisfreie Stadt;-;-;-;-;-;-;-
15151;      Anhalt-Zerbst, Kreis;-;-;-;-;-;-;-
15153;      Bernburg, Kreis;-;-;-;-;-;-;-
15154;      Bitterfeld, Kreis;-;-;-;-;-;-;-
15159;      K�then, Kreis;-;-;-;-;-;-;-
15171;      Wittenberg, Kreis;-;-;-;-;-;-;-
152;    Halle, Stat. Region;-;-;-;-;-;-;-
15202;      Halle (Saale), kreisfreie Stadt;-;-;-;-;-;-;-
15256;      Burgenlandkreis;-;-;-;-;-;-;-
15260;      Mansfelder Land, Kreis;-;-;-;-;-;-;-
15261;      Merseburg-Querfurt, Kreis;-;-;-;-;-;-;-
15265;      Saalkreis;-;-;-;-;-;-;-
15266;      Sangerhausen, Kreis;-;-;-;-;-;-;-
15268;      Wei�enfels, Kreis;-;-;-;-;-;-;-
153;    Magdeburg, Stat. Region;-;-;-;-;-;-;-
15303;      Magdeburg, kreisfreie Stadt;-;-;-;-;-;-;-
15352;      Aschersleben-Sta�furt, Kreis;-;-;-;-;-;-;-
15355;      B�rdekreis;-;-;-;-;-;-;-
15357;      Halberstadt, Kreis;-;-;-;-;-;-;-
15358;      Jerichower Land, Kreis;-;-;-;-;-;-;-
15362;      Ohrekreis;-;-;-;-;-;-;-
15363;      Stendal, Kreis;-;-;-;-;-;-;-
15364;      Quedlinburg, Kreis;-;-;-;-;-;-;-
15367;      Sch�nebeck, Kreis;-;-;-;-;-;-;-
15369;      Wernigerode, Kreis;-;-;-;-;-;-;-
15370;      Altmarkkreis Salzwedel, Kreis;-;-;-;-;-;-;-
16;  Th�ringen;1053817;376365;374469;175852;91237;24807;11087
16051;      Erfurt, kreisfreie Stadt;106621;46854;37987;13344;6227;1544;665
16052;      Gera, kreisfreie Stadt;52673;23810;19473;6213;2483;476;218
16053;      Jena, kreisfreie Stadt;57580;24962;19006;8165;3920;1036;491
16054;      Suhl, kreisfreie Stadt;19634;8123;7537;2548;1066;252;108
16055;      Weimar, kreisfreie Stadt;32345;14057;11007;4141;2234;589;317
16056;      Eisenach, kreisfreie Stadt;21753;9270;7839;2809;1332;347;156
16061;      Eichsfeld, Kreis;42160;11558;13485;8257;5818;2029;1013
16062;      Nordhausen, Kreis;41719;14610;14995;7299;3454;965;396
16063;      Wartburgkreis;56648;16137;19221;11473;6789;2051;977
16064;      Unstrut-Hainich-Kreis;47972;15656;16287;8644;5204;1495;686
16065;      Kyffh�userkreis;36891;11514;13395;7118;3481;993;390
16066;      Schmalkalden-Meiningen, Kreis;58378;18125;20472;11434;5945;1675;727
16067;      Gotha, Kreis;64073;21570;23847;10934;5618;1470;634
16068;      S�mmerda, Kreis;32148;9403;11932;6272;3236;887;418
16069;      Hildburghausen, Kreis;28870;8381;9379;5993;3593;1041;483
16070;      Ilm-Kreis;54910;20437;19003;9163;4666;1178;463
16071;      Weimarer Land, Kreis;37625;11656;13856;6981;3763;964;405
16072;      Sonneberg, Kreis;28157;9681;9965;5145;2391;670;305
16073;      Saalfeld-Rudolstadt, Kreis;55169;19799;19653;9253;4691;1247;526
16074;      Saale-Holzland-Kreis;39134;12098;14781;7119;3741;966;429
16075;      Saale-Orla-Kreis;39891;12943;13886;7386;4061;1106;509
16076;      Greiz, Kreis;51028;17763;18476;8902;4373;1085;429
16077;      Altenburger Land, Kreis;48438;17958;18987;7259;3151;741;342
__________
"zu ""gesamter Tabelle"":
Einige der hier verf�gbaren Ergebnisse k�nnen aufgrund
unterschiedlicher Geheimhaltungsverfahren von den
Ergebnissen unter 
https://ergebnisse2011.zensus2022.de
leicht abweichen. Hier finden Sie weiterf�hrende
Informationen zu den angewandten Geheinhaltungsverfahren 
https://www.zensus2022.de/DE/Wie-funktioniert-der-Zensus/geheimhaltung-beim-zensus.html?nn=352854"
"� Statistische �mter des Bundes und der L�nder, Deutschland, 2021.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 24.08.2021 / 16:56:06
