,kreis_key,income_pp_2000,income_pp_2001,income_pp_2002,income_pp_2003,income_pp_2004,income_pp_2005,income_pp_2006,income_pp_2007,income_pp_2008,income_pp_2009,income_pp_2010,income_pp_2011,income_pp_2012,income_pp_2013,income_pp_2014,income_pp_2015,income_pp_2016,income_pp_2017,income_pp_2018,income_2000,income_2001,income_2002,income_2003,income_2004,income_2005,income_2006,income_2007,income_2008,income_2009,income_2010,income_2011,income_2012,income_2013,income_2014,income_2015,income_2016,income_2017,income_2018
112,05570,15511,16061,15911,16359,16766,17123,17815,18405,19013,18553,19192,19947,20445,20985,21140,21261,22316,23066,23839,4302978,4482373,4458906,4590521,4705148,4801870,4984424,5129847,5270646,5114750,5268336,5455018,5579551,5723076,5771551,5855645,6194619,6403067,6618125
114,05711,16439,17081,17111,17584,17862,17741,17832,17660,18377,18058,18788,19339,19161,19800,20948,20687,21702,22175,23037,5315535,5545491,5584630,5786702,5910232,5859894,5873563,5802240,6020684,5903063,6141968,6326818,6280270,6505913,6898615,6856428,7232551,7384259,7675232
115,05754,17707,18407,18108,18700,19031,19409,20015,20414,20870,20059,20445,21143,22090,22400,22597,23103,23765,24337,25241,6059657,6342491,6274963,6500548,6637879,6792646,7017929,7164423,7319107,7023720,7153248,7407602,7758540,7884271,7985620,8260639,8584845,8820632,9176951
116,05758,17193,17550,17326,17769,18037,18111,18293,18322,18968,18625,19264,20023,20286,20281,20503,20871,21350,21913,22732,4391826,4497471,4451066,4565616,4628376,4642374,4679989,4674865,4821138,4710659,4849691,5017130,5062317,5051226,5107343,5231866,5371662,5506887,5709357
117,05762,14214,14730,14637,15076,15480,15588,15840,16038,16798,16575,17157,17939,18706,19017,19532,19742,20423,21222,22021,2206587,2284835,2266458,2328362,2381886,2387743,2412528,2423689,2513876,2456521,2519159,2610352,2699240,2724166,2788696,2830824,2919185,3007426,3107500
118,05766,16060,16653,16525,17010,17316,17616,18030,18270,19100,18838,19568,20275,20434,20220,20678,20698,21147,21764,22592,5848983,6064817,6017421,6181686,6269845,6352140,6470085,6525130,6781638,6644286,6860843,7069947,7093022,6994886,7139127,7201775,7398048,7595783,7878407
119,05770,16334,17136,16748,17005,17143,17312,17634,17838,18493,18182,18835,19571,20072,20194,20679,21267,21576,22219,23052,5255926,5521706,5403017,5486867,5521773,5563628,5650021,5691211,5869929,5737465,5909151,6104381,6231688,6253616,6395821,6616784,6741606,6922145,7168257
120,05774,14565,15143,15004,15309,15697,15885,16150,16390,17101,16932,17634,18193,19041,19097,19605,19915,20249,20843,21601,4173411,4371825,4362430,4468050,4598954,4673986,4759681,4827316,5029980,4978147,5188238,5367441,5633873,5660696,5839907,6008350,6171317,6362943,6612600
122,05911,15100,15784,15791,16092,16332,16412,16575,16692,17168,16880,17292,17784,17962,17997,18366,18784,18936,19415,20048,5831821,6065332,6040836,6124322,6200971,6209041,6224862,6225497,6349392,6189422,6297132,6452817,6509484,6514363,6645050,6824397,6908263,7090845,7319098
123,05913,14435,14887,14891,15185,15486,15557,15715,15836,16373,16145,16549,16933,17300,17285,17702,17994,18271,18707,19318,8444492,8694985,8704260,8872466,9025243,9048182,9125130,9178283,9456332,9271806,9463390,9673823,9891020,9921915,10235549,10496934,10706580,10966332,11335983
124,05914,15628,16081,16165,16562,16819,16878,17073,17158,17645,17313,17657,18213,18151,18144,18502,18616,18862,19441,20024,3189258,3256098,3256509,3319532,3351296,3336730,3348602,3337792,3401417,3305915,3339113,3420852,3390307,3376930,3447958,3497558,3558335,3654856,3769975
125,05915,13666,14015,14000,14159,14380,14503,14701,14895,15429,15363,15831,16159,16400,16507,16922,17068,17332,17822,18453,2450008,2522669,2531081,2564069,2602832,2615939,2638511,2660606,2742325,2716222,2789120,2848338,2893965,2909229,2983660,3037909,3110878,3196899,3305790
126,05916,13753,14390,14467,14692,14905,14887,14998,15166,15695,15559,15951,16332,16455,16371,16557,16829,16953,17327,17889,2344554,2434786,2434840,2457724,2473132,2449624,2447623,2449374,2503640,2453038,2490195,2534287,2545990,2529115,2558215,2612435,2649906,2714040,2798401
127,05954,17424,18169,18248,18891,19314,19575,20183,20611,21149,20518,20986,21755,21960,21878,22449,22527,22872,23520,24441,6076590,6319210,6320596,6502511,6609102,6660131,6819313,6916486,7043173,6779660,6883677,7091741,7130071,7076937,7246910,7308433,7448619,7644407,7930644
128,05958,15786,16452,16407,17005,17525,17748,18084,18281,19070,18738,19391,20201,20629,21003,21365,21776,22704,23394,24345,4456103,4630963,4609852,4759455,4877131,4920147,4993340,5017140,5198644,5070683,5205595,5378312,5455556,5520809,5592846,5719744,5971438,6127644,6354733
129,05962,17310,18030,17949,18703,19195,19692,20381,20823,21322,20656,21065,21870,21576,21639,22192,22720,23176,23767,24762,7886355,8186327,8132904,8438195,8609449,8777711,9014410,9130032,9265648,8891105,8989130,9269397,9089760,9047393,9210323,9428878,9630343,9842908,10220665
130,05966,17750,18886,18903,20217,21335,21406,21760,21713,22707,22237,23054,23928,24770,23616,24841,25002,26156,26839,28007,2483698,2647957,2656581,2843159,2998583,3002674,3040329,3022758,3149871,3067646,3160191,3263935,3364639,3193717,3349923,3389367,3548643,3620525,3775055
131,05970,16157,16811,16798,17393,17853,18357,19017,19523,20165,19729,20326,21094,21153,21136,21488,21465,21753,22450,23302,4750962,4927000,4911582,5069103,5175980,5289507,5445843,5557378,5699218,5531137,5656261,5837874,5836335,5817581,5917829,5974959,6077121,6240101,6480118
132,05974,15202,15816,15605,15963,16246,16549,17006,17375,18086,17807,18561,19242,19937,20252,20545,20748,21204,21944,22746,4602150,4795557,4746136,4857693,4938832,5025763,5148673,5239627,5433108,5324725,5525334,5710982,5906966,5984478,6078419,6221545,6410549,6619785,6864608
133,05978,14451,15122,15303,15740,16147,16194,16472,16661,17258,17089,17656,18265,18643,18914,19328,19715,20149,20777,21494,6122437,6396133,6447300,6596153,6727388,6708210,6771861,6801023,6991213,6865191,7037476,7232482,7343506,7419503,7570906,7765779,7958059,8184260,8476284
136,06411,17147,17555,18051,18327,18461,18943,20379,21517,21044,20794,20775,20103,20585,20917,21565,22016,21903,22479,23290,2339936,2398840,2470167,2516505,2542166,2613518,2820556,2992241,2934331,2908143,2923909,2885295,3023697,3113111,3252234,3381965,3425490,3548210,3696836
137,06412,16859,17847,17971,17965,18735,18877,19688,19922,20067,19706,19984,20519,20847,20785,21237,21696,22322,22702,23436,10757509,11349997,11390669,11395359,11898428,12054481,12614605,12820969,13022772,12901736,13217927,13762959,14220690,14436210,15067588,15732995,16396994,16836965,17576261
138,06413,15313,15638,15699,15896,15891,16347,16562,16942,17034,17122,17361,17200,17600,17426,17312,17561,18032,18273,18739,1736070,1781056,1795330,1818257,1813575,1860936,1862964,1889427,1905391,1913359,1946327,1957364,2039886,2057505,2079107,2148753,2238886,2295503,2392996
139,06414,18095,19034,18967,19177,19491,19756,20262,20410,20554,20357,20751,21353,21729,21608,22007,24018,23882,24472,25338,4807244,5071723,5060318,5117918,5218472,5307192,5450555,5495386,5538295,5494525,5584980,5756301,5905825,5904416,6040661,6621020,6613434,6806683,7056472
140,06431,16382,17312,17162,17770,18126,18290,18724,19043,19464,19740,20541,20916,21669,21833,22375,22862,23301,23881,24752,4298325,4558854,4532952,4702560,4802611,4848709,4949778,5014219,5108740,5163925,5363555,5460789,5664866,5720361,5886216,6066877,6231388,6408532,6664283
141,06432,16786,18004,17766,18081,18432,18665,19270,19607,20071,20340,21007,21842,22204,22164,22852,22969,23472,23929,24905,4749790,5115334,5068156,5167821,5272840,5334140,5488580,5566410,5682495,5750619,5937782,6182309,6304492,6314787,6551380,6669438,6895209,7068499,7389956
142,06433,16224,16927,16971,17355,17506,17459,17528,18161,18405,18520,18908,19494,19716,19825,20260,20579,20883,21271,22014,4000955,4190007,4220705,4322466,4358427,4345185,4357339,4520715,4590974,4621063,4726371,4905469,5004362,5077088,5248384,5420799,5587110,5747854,6008945
143,06434,26201,27423,26153,25557,25451,26199,27486,28451,27858,27191,27189,28425,29097,29563,31904,32557,32978,34220,35041,5872758,6181768,5913580,5779714,5760764,5934270,6208030,6405718,6258911,6110587,6131393,6438255,6620493,6759183,7337296,7556958,7723835,8058666,8279567
144,06435,16200,17150,17163,17589,17811,17960,18335,18586,18978,19322,19903,20664,21403,21731,21903,22543,23142,23586,24607,6514864,6923520,6954203,7134143,7224818,7282325,7416431,7495833,7634782,7756478,7981580,8294585,8614175,8780536,8899500,9237864,9588756,9846439,10299900
145,06436,20197,21043,21573,21473,22150,22470,23131,23312,23724,23427,23999,25018,25587,25410,25907,26372,26936,27476,28550,4392519,4610386,4750830,4739698,4897636,4975101,5121169,5173213,5280776,5225086,5364277,5612014,5768989,5769815,5932663,6102823,6310541,6493578,6776509
146,06437,14730,15410,15473,15896,15945,16429,16845,16788,17418,17712,18260,18963,19395,19713,20238,20616,21076,21804,22564,1465844,1539146,1552071,1598723,1603686,1648376,1682702,1666698,1715824,1731863,1775721,1837493,1875793,1900778,1945686,1990313,2038829,2104872,2181914
147,06438,18741,20062,19589,19662,19664,19916,20685,20612,20910,20964,21287,21969,22259,22374,22713,22978,23524,24096,24880,6208359,6672215,6532674,6558749,6560831,6640710,6873641,6834923,6930193,6947108,7061112,7316082,7459866,7546405,7722100,7916156,8202231,8453934,8779895
148,06439,17292,18119,18273,18890,19336,18873,19896,20319,20345,20846,21446,22232,22857,23081,23849,24064,24505,25056,26153,3167159,3321461,3357232,3473619,3551997,3461933,3634330,3697979,3691901,3771352,3873239,4012395,4130489,4178830,4332296,4406592,4530834,4663808,4887448
149,06440,16858,17623,17613,17773,18032,18232,18750,19094,19393,19682,20172,20983,21463,21668,22129,22767,23212,23736,24647,4903178,5151695,5175651,5235490,5314099,5376084,5526390,5624429,5703186,5774612,5908440,6145925,6300008,6385029,6558763,6822065,7031507,7230291,7539119
151,06531,14946,15762,15693,15974,16256,16556,17056,17053,17628,17661,18312,18618,18951,19061,19409,20053,20224,20680,21363,3752390,3962268,3955040,4036113,4110529,4180448,4300182,4294209,4429521,4433468,4603500,4693585,4791102,4830537,4984837,5237280,5341261,5508756,5724515
152,06532,15752,16732,16633,16991,17320,17660,18534,19095,18875,19079,19366,20065,20681,20762,21570,21881,22244,22737,23693,4144415,4403395,4377552,4465191,4539448,4613948,4823582,4946679,4863786,4886366,4930964,5085179,5221978,5226060,5422476,5520702,5641511,5777900,6017223
153,06533,14830,15588,15714,16103,16193,16568,17120,17046,17993,18211,18759,19337,19705,19834,20298,20692,21390,21948,22913,2598874,2736384,2762710,2832546,2850871,2916265,2999725,2969800,3118543,3135853,3211257,3299563,3353603,3370458,3454207,3541535,3679495,3776023,3941684
154,06534,14095,14826,14798,14999,15637,15646,16337,16493,17170,17211,17745,18308,18810,19051,19514,19781,20345,20850,21581,3509472,3684057,3674956,3720471,3869734,3861143,4018242,4039480,4187758,4181304,4296709,4425507,4541161,4600249,4715147,4815088,4987211,5120605,5317780
155,06535,14085,14919,15117,15518,15730,15991,16517,16703,17226,17289,17876,18995,19297,20359,20650,21270,20599,21318,22146,1666471,1763264,1782165,1821406,1836095,1852373,1897024,1898680,1935926,1921024,1960567,2059934,2073850,2171575,2190429,2265504,2203995,2272404,2351104
157,06611,14044,14786,14918,15344,15593,15689,16180,16415,16716,16952,17531,17744,17964,17852,18280,18589,18940,19329,19781,2714066,2843167,2860533,2935627,2981818,2997250,3079777,3115736,3174529,3223762,3341932,3395826,3455614,3453997,3553977,3650310,3759985,3863751,3979223
158,06631,14681,15603,15559,15795,15981,16606,17210,17847,18000,17898,18725,19240,19844,20038,20881,21220,21418,22016,22798,3186415,3395810,3396036,3456731,3505991,3644616,3769841,3901979,3925993,3891391,4059658,4160364,4286623,4332246,4527484,4641487,4725833,4876025,5065441
159,06632,14395,15292,15248,15628,16042,16021,16583,16862,17457,17612,18023,18710,19030,19282,19560,19981,20535,21177,21905,1875209,1982535,1964390,2000695,2041528,2026850,2083095,2100603,2155145,2152147,2185496,2261189,2292535,2312084,2337855,2403308,2486787,2563841,2649685
160,06633,14584,15618,15707,16411,16765,16831,17354,17633,18058,18601,19324,19835,20292,20509,20993,21216,21650,22248,23090,3572727,3825659,3844884,4012875,4089813,4091083,4193019,4232011,4306558,4408794,4556777,4660731,4757375,4794685,4899766,4977967,5117061,5268216,5464278
161,06634,14156,14895,14916,15361,15682,15838,16249,16529,17268,17339,18208,18785,19294,19302,19934,20382,20978,21556,22399,2735708,2878806,2879616,2955509,3004125,3016633,3070769,3099647,3212059,3196071,3331591,3416518,3488382,3471464,3577131,3666465,3790923,3900124,4042757
162,06635,14632,15337,15556,16342,16780,16568,16695,16638,17254,17683,18352,18991,19464,19496,19990,20364,21018,21663,22456,2480038,2595618,2629524,2754094,2816285,2767597,2769074,2738951,2817090,2859313,2939926,3016932,3070505,3059881,3129133,3197710,3316213,3414420,3527879
163,06636,14109,14854,14817,15259,15338,15450,15818,16044,16601,16840,17368,17940,18330,18423,18775,19238,19989,20476,21156,1606669,1677780,1661381,1695897,1690227,1686418,1706651,1711352,1748467,1750908,1787503,1832762,1858215,1853953,1882756,1932650,2015671,2068726,2138046
166,07111,16333,17033,16701,16794,17049,17333,17808,18102,18309,18642,18570,19131,19467,19416,19717,20268,20888,21174,21953,1774546,1849434,1814005,1824139,1845693,1867826,1909915,1938864,1965913,2006160,2000746,2063396,2119298,2139883,2189347,2270185,2362336,2408041,2501169
167,07131,15845,16474,16394,16843,17510,17733,18254,18626,18990,19705,19736,20429,20754,20943,21173,21958,22566,23119,23954,2037637,2127405,2126804,2190532,2278073,2302270,2355649,2389814,2425805,2505906,2498121,2575974,2612832,2638163,2675689,2793178,2890949,2975072,3097777
168,07132,14632,15254,15204,15562,16088,16459,17039,17560,17753,18117,17948,18589,19069,19134,19518,19972,20606,21121,22104,2003208,2089289,2083180,2128775,2195867,2238792,2307188,2363828,2371635,2400998,2361476,2426444,2470628,2463925,2504194,2570422,2659538,2721941,2845787
169,07133,15766,16476,16433,16973,17697,17822,18154,18359,18486,18884,18887,19350,19689,19727,20063,20702,21153,21697,22561,2480032,2597935,2594892,2684863,2805388,2824651,2868712,2893192,2902606,2949554,2939517,3007873,3058776,3063593,3122245,3237476,3323257,3416654,3560467
170,07134,15116,15687,15516,16004,16664,16940,17518,17839,17992,18495,18295,18860,19151,19349,19670,20023,20663,21096,22010,1362331,1414119,1395768,1433579,1482768,1492926,1528374,1544530,1541515,1563441,1528343,1559552,1565161,1565416,1586064,1613919,1667634,1703771,1776751
171,07135,14685,15563,15316,15696,16271,16629,17202,17635,18027,18678,18735,19139,19300,19393,19941,20664,21173,21810,22784,952228,1012393,999437,1026437,1065128,1086420,1118354,1140058,1159453,1193456,1188336,1205973,1208002,1207239,1237923,1285628,1315452,1347045,1404058
172,07137,15525,16136,16035,16474,17091,17395,17908,18210,18378,18888,18819,19526,19985,20257,20241,20687,21334,21826,22718,3267059,3417371,3414096,3515398,3655176,3724102,3827734,3886055,3911762,4002994,3971502,4109103,4199702,4252249,4252943,4368765,4532261,4654544,4859590
173,07138,16174,16920,16711,17091,17691,18225,19086,19700,19630,19988,19532,20148,20708,20496,20942,21463,22068,22484,23438,2976912,3123232,3096131,3172754,3287556,3382350,3527426,3624664,3592264,3636343,3538283,3640708,3730687,3681738,3756776,3862968,3996341,4082966,4260966
174,07140,14823,15520,15527,15978,16708,16989,17552,17968,18289,18845,18858,19702,20403,20651,21314,22146,22679,23158,24205,1580778,1659771,1665978,1718809,1798304,1825723,1877041,1908423,1929316,1974897,1962232,2033384,2089541,2105822,2171874,2264145,2330927,2384825,2491595
175,07141,15906,16754,16473,16695,17107,17380,17899,18278,18521,19028,19027,19602,19870,20065,20253,20834,21081,21659,22578,2051600,2166354,2134886,2162663,2210264,2233428,2283865,2315417,2329928,2376761,2358634,2412383,2428583,2440020,2459361,2552438,2594035,2652506,2762240
176,07143,15985,16859,16602,16995,17576,18040,18751,19258,19459,20067,19893,21072,21454,22556,22193,23152,24477,25205,26109,3238902,3428521,3388885,3478557,3605803,3701644,3837596,3927625,3952204,4052759,3997562,4216926,4275147,4483699,4414653,4623780,4911575,5067067,5256191
178,07211,14243,14902,14961,15494,16275,16704,17169,17417,17573,17981,17756,18235,18453,18498,18678,18688,19213,20197,21216,1423373,1490708,1503157,1558378,1636761,1677530,1753532,1814559,1841088,1890641,1872946,1933943,1963705,1977238,2014464,2087353,2161660,2222976,2340630
179,07231,15070,15970,15861,16442,17261,17697,18461,18984,19386,20267,20295,20645,20759,20446,20660,20284,21106,21662,22627,1708674,1813649,1805367,1873697,1968946,2018233,2098187,2150238,2187339,2273124,2264117,2298136,2305160,2264133,2289378,2259774,2362104,2427613,2538701
180,07232,13818,14708,14562,14944,15667,15920,16481,16964,17345,17711,18129,18618,19143,19299,19722,20406,20762,21543,22680,1344635,1433144,1417619,1452711,1521734,1548799,1601875,1643903,1677305,1707039,1741477,1784204,1834842,1853755,1898859,1975196,2026393,2113771,2231402
181,07233,14237,14912,14883,15407,16104,16408,16874,17147,17446,17949,17994,18490,19017,19171,19494,19913,20786,21353,22332,922463,967909,965726,998989,1042395,1057502,1081686,1092810,1104153,1127578,1122743,1143522,1165780,1167902,1184621,1210400,1263279,1296762,1354506
182,07235,14388,15308,15365,15908,16688,17068,17646,18093,18355,18734,18731,19475,19752,20120,20746,21069,21704,22554,23861,1998205,2133246,2151154,2236308,2352888,2412361,2500034,2573499,2619766,2678539,2682264,2792895,2838823,2899646,3003676,3088993,3210391,3342124,3549074
184,07311,15395,15931,15946,16307,16825,16870,17174,17372,17703,18140,18458,19137,19932,20048,19943,20949,20458,21097,21859,735845,758079,757984,772706,795415,794424,803456,811217,826460,844584,857642,890186,933330,945943,947870,1006469,990255,1021765,1059901
185,07312,14631,15195,15156,15431,15891,15986,16325,16501,16793,17204,17123,17436,17318,17484,17576,18103,18291,18613,19288,1441847,1493539,1484929,1504391,1544930,1546398,1567777,1577568,1598263,1648083,1653133,1686034,1680529,1698382,1709669,1773207,1809200,1851864,1924292
186,07313,16290,17169,17105,17460,18132,18468,18853,19071,19257,19632,19448,19812,19892,20036,20109,20479,20526,20881,21619,663749,701611,700928,718722,749864,768235,795445,814095,821289,836171,833842,858368,866448,876229,887730,919813,937730,963630,1004919
187,07314,14490,15045,15147,15483,15860,15993,16411,16773,17042,17410,17500,17791,17936,18131,18281,18888,19098,19394,19842,2310967,2384280,2396686,2447476,2509497,2529446,2591714,2646976,2683153,2731418,2747551,2810760,2859110,2916323,2973891,3102886,3163927,3249567,3368704
188,07315,17111,17861,17688,18045,18479,18465,18385,18611,18765,19379,19432,19828,21112,19968,20371,21081,21546,21868,22597,3134758,3291925,3288989,3358044,3438567,3517896,3598423,3677801,3719717,3838655,3865064,3972039,4262081,4063764,4188783,4393046,4560388,4686725,4883564
189,07316,18114,19249,18695,18845,19132,19601,20487,21072,21271,21760,21928,22719,23258,23206,23549,24875,24367,25042,25966,970867,1030517,1000051,1008633,1023502,1044982,1087666,1118708,1130272,1153941,1153429,1187908,1216299,1214471,1235903,1312949,1294008,1334276,1382700
190,07317,15340,15855,15658,15930,16148,16360,16921,17283,17386,17636,17474,17789,18038,18009,18181,18674,18816,19115,19741,702713,719250,704171,710147,714413,717444,732309,737571,733203,734851,720107,726409,729820,723673,728581,748563,757723,774618,799863
191,07318,15947,16613,16823,17456,18273,19064,20261,21233,20942,21214,20671,21193,22820,21496,21973,22572,23663,24178,25219,791880,825516,838877,872744,915062,956833,1019668,1070070,1047586,1051747,1023755,1051728,1135011,1069470,1094235,1130195,1193026,1226793,1277439
192,07319,15066,15765,15789,16138,16691,16851,17162,17412,17703,18014,18186,18542,18686,18858,19130,19561,20084,20524,21280,1191685,1247080,1252884,1282459,1325645,1340136,1371079,1395490,1415253,1433343,1442157,1471734,1487923,1508906,1542918,1595294,1653881,1700190,1770594
193,07320,14533,14914,14800,15030,15303,15690,16347,16886,17123,17522,17653,17986,17918,18259,18378,19104,19344,19840,20654,521203,536284,533403,539857,547259,559009,577297,592396,598298,607214,606900,615721,611235,622143,625740,652130,664363,681487,707202
194,07331,15635,16415,16274,16534,17190,17419,17966,18404,18553,18837,19262,19726,20147,20633,20865,21417,21806,22430,23385,1937009,2052014,2050448,2095685,2185283,2210994,2273999,2324119,2335758,2363075,2412212,2469180,2521239,2583158,2620760,2712172,2785420,2879115,3013966
195,07332,17209,17893,17791,18117,18759,19225,19965,20629,20897,21420,21768,22466,22971,23340,23766,24470,25014,25781,26863,2287167,2383698,2376807,2423720,2511460,2575282,2668670,2747940,2771194,2825157,2860646,2944717,3007473,3057146,3120150,3226823,3316380,3425044,3564715
196,07333,14168,14851,14898,15279,15886,16188,16788,17343,17491,17763,17883,18417,19130,19069,19647,20147,20493,21106,22077,1112067,1169452,1177446,1211452,1262796,1283892,1323318,1359175,1362515,1372357,1368767,1399895,1447490,1436868,1475026,1512922,1541404,1586121,1658024
197,07334,15591,16320,16291,16631,17206,17458,17902,18194,18435,18872,19080,19614,20090,20272,20685,21334,21669,22181,23173,1914449,2014561,2021018,2066450,2143137,2177515,2232927,2273770,2304905,2350866,2368793,2435620,2502999,2537324,2603241,2704794,2768287,2846701,2984123
198,07335,14485,15248,15182,15448,15968,16097,16445,16706,17050,17639,17899,18494,18872,19000,19316,19882,20394,20827,21713,1596852,1681570,1674869,1703006,1756400,1764107,1791894,1809506,1836929,1885353,1897574,1947192,1975419,1981308,2012815,2080187,2146155,2198852,2298417
199,07336,13965,14497,14493,14728,15028,15275,15719,16074,16461,16797,17007,17565,18036,18376,18882,19267,19591,20157,21080,1106532,1144296,1140302,1152897,1169757,1180862,1204798,1219059,1233916,1246343,1250655,1279241,1300591,1312623,1340407,1366786,1389940,1427732,1489189
200,07337,16126,17060,16740,16974,17521,17777,18353,18807,19074,19474,19876,20599,21037,21640,21756,22318,22750,23503,24538,1756411,1863370,1835492,1867670,1933279,1962042,2018449,2061508,2084685,2119791,2156840,2232285,2283047,2356377,2379710,2457911,2518532,2603050,2711137
201,07338,17721,18517,18345,18644,19230,19618,20212,20725,21042,21582,22020,22682,23243,23464,23839,24600,25127,25796,26784,2584913,2707904,2691041,2741480,2832529,2894231,2985057,3062234,3106311,3179176,3235115,3335308,3433296,3486206,3565422,3709565,3826620,3955507,4122527
202,07339,18753,20080,19862,20386,21297,21780,22507,23030,22974,23459,23250,23281,23071,22702,23794,24747,24690,25267,26326,3614730,3899085,3890621,4019642,4222886,4334918,4487171,4600667,4593129,4689793,4656513,4678027,4654358,4603582,4852292,5113504,5159382,5292968,5537411
203,07340,15060,15765,15679,16013,16570,16959,17550,18066,18341,18787,18798,19394,19959,20029,20498,21189,21674,22350,23469,1588491,1659147,1648350,1678943,1727726,1756204,1803987,1841467,1850990,1877228,1862910,1907820,1947876,1940581,1978183,2043467,2085366,2139292,2236453
206,08111,19329,20198,20089,20731,21149,21787,22565,22972,23096,22137,22413,23121,23488,23556,24223,24347,24760,25144,25788,11046833,11568630,11530260,11897877,12138776,12519594,12980379,13244080,13362310,12833002,13042449,13582107,13962945,14159934,14736433,15048608,15496956,15850258,16344151
207,08115,18338,19132,19060,19452,19811,20081,20412,20620,21105,20799,21537,22364,23060,23262,23742,24266,24484,24908,25597,6591964,6925301,6943070,7115939,7257632,7354284,7469521,7544276,7720386,7589037,7835129,8140074,8436280,8578945,8840131,9167171,9391867,9657201,9998191
208,08116,18850,19793,19612,20005,20302,20616,21104,21420,21696,21127,21573,22526,23140,23463,23951,24232,24410,24864,25582,9291670,9818818,9803448,10050985,10224904,10399345,10644452,10794436,10927105,10623881,10838228,11346859,11726523,11976283,12323507,12611549,12850675,13193433,13638992
209,08117,16838,17733,17678,18117,18409,18730,19151,19490,19966,19555,20122,21106,21733,22045,22851,22850,23068,23526,24173,4276277,4512764,4509734,4627065,4697582,4766728,4855124,4917437,5011699,4881695,4995821,5222459,5379268,5474225,5700600,5745288,5851995,6010462,6207622
210,08118,18945,19958,19674,20043,20284,20652,21154,21496,21713,21066,21548,22476,23153,23507,24186,24522,24981,25470,26203,9320973,9888368,9830305,10071141,10232270,10447080,10715784,10899673,11021333,10702490,10960626,11475100,11910429,12204645,12673428,13002226,13389374,13760391,14236177
211,08119,18035,19064,18877,19310,19583,20001,20578,20943,21363,20856,21454,22271,22794,22992,23549,23827,24386,24875,25631,7282952,7745422,7722499,7927128,8048057,8222634,8453424,8589318,8738484,8507761,8734605,9063636,9299753,9425195,9714629,9929422,10268304,10541788,10906476
212,08121,17679,18519,19279,21137,22787,24921,27901,30331,33016,33755,37055,36576,34785,33310,30839,29573,35790,35587,36883,2043553,2139737,2233839,2447453,2637927,2887883,3224798,3495637,3805404,3892083,4274209,4245141,4074156,3924871,3669236,3584310,4408222,4428553,4630170
213,08125,16319,17245,17179,17626,18006,18491,19124,19694,20261,19937,20762,21773,22419,22767,23173,23301,23834,24306,24968,5163487,5507438,5526935,5696916,5838843,6009782,6221386,6409696,6586418,6463572,6711286,7032127,7260609,7405889,7592593,7731773,8007866,8243984,8536947
214,08126,16420,17427,17354,17906,18434,19084,19888,20639,20757,19894,20330,21187,21610,21839,22268,22740,23340,23874,24642,1748671,1871772,1877852,1943761,2001848,2070573,2155947,2237742,2246605,2143113,2182489,2271848,2319860,2351625,2412542,2489975,2577511,2651022,2752520
215,08127,14953,15798,15792,16128,16450,16832,17431,17986,18641,18354,19233,20157,20802,21245,22036,22165,22493,23010,23637,2754611,2925734,2942827,3016734,3081997,3160584,3274236,3374117,3493438,3432524,3587955,3757145,3883307,3979308,4150073,4217863,4325146,4454375,4610037
216,08128,15251,15843,15798,16194,16414,16785,17358,17849,18477,18211,19045,19779,20321,20576,21132,21517,22131,22853,23546,2070682,2151975,2145625,2197209,2228897,2275377,2338599,2385998,2455192,2406955,2499753,2583118,2644501,2671816,2748853,2823895,2926324,3021956,3114017
217,08135,15865,16648,16740,17203,17601,17897,18385,18786,19372,19130,19877,20464,20896,20920,21152,21343,21881,22384,23046,2147360,2252246,2262064,2315909,2356181,2383005,2430978,2465103,2525764,2476164,2553574,2616487,2667400,2673076,2716313,2768450,2866727,2949139,3047594
218,08136,15723,16584,16636,17105,17474,17979,18656,19214,19706,19324,19951,20878,21521,21921,22707,22727,23245,23868,24599,4900821,5182738,5214924,5371209,5488715,5643675,5839629,5990182,6119437,5973006,6135020,6400463,6595296,6723306,6983943,7054982,7255307,7446904,7704580
220,08211,25133,25229,23987,23945,23923,25003,26262,27180,27430,26185,26527,27512,28208,28201,28121,28976,30866,31944,32416,1297433,1305601,1249913,1255601,1260072,1322656,1394112,1443974,1453589,1380356,1391511,1441731,1481063,1489000,1495407,1557507,1674011,1741361,1780320
221,08212,17289,18091,18134,18729,19116,19388,19761,19879,20187,19634,20066,20617,20852,20862,21279,21630,21855,22286,22814,4754141,4991282,5023240,5211301,5341023,5438040,5558997,5623365,5749636,5616992,5775624,5990264,6130806,6207764,6374655,6573521,6750499,6930105,7129395
222,08215,16909,17790,17769,18150,18464,18856,19395,19734,20189,19814,20416,21221,21782,21992,22862,22742,23139,23611,24295,6993967,7409023,7448121,7638866,7787124,7968444,8208697,8363457,8558646,8392543,8648724,9000534,9274889,9415682,9836406,9860526,10136967,10424263,10773620
223,08216,15920,16759,17031,17544,17969,18116,18483,18791,19286,18985,19582,20401,20959,21253,21803,22093,22493,22977,23646,3517988,3706008,3784037,3914728,4020427,4065165,4147765,4208360,4306334,4225196,4350524,4531071,4660004,4737076,4883777,4994792,5132652,5274718,5453197
224,08221,18431,19424,18795,19182,19365,20191,21089,21510,21757,20867,21238,22369,23191,23673,22276,22232,22630,23019,23703,2568474,2723524,2656055,2723454,2753766,2870460,3012909,3096749,3142062,3024531,3094766,3294219,3464106,3579995,3417524,3456907,3577657,3688955,3803769
